image	manifest	record_url	dataset_key	dataset_name	geometry_type	coordinates	thumbnail	iiif_label	iiif_extent	iiif_date	iiif_collections	copilot_alt_text_v1	copilot_image_caption_v1	copilot_search_terms_v1	copilot_alt_text_v2	copilot_image_caption_v2	copilot_search_terms_v2
	https://iiif.library.leeds.ac.uk/presentation/cc/j5rkp6fs	https://digital.library.leeds.ac.uk/15933/	handmade	Hand-mapped Leeds Data	Polygon	[[[-6.512022, 55.241873], [-6.512156, 55.241814], [-6.512141, 55.241464], [-6.512204, 55.241199], [-6.512141, 55.241119], [-6.512219, 55.24106], [-6.511975, 55.240786], [-6.511944, 55.240665], [-6.512227, 55.24045], [-6.512542, 55.240234], [-6.512597, 55.240082], [-6.51244, 55.239727], [-6.51177, 55.239686], [-6.511322, 55.239938], [-6.511243, 55.2401], [-6.511085, 55.240153], [-6.510991, 55.240091], [-6.510975, 55.240014], [-6.510731, 55.240014], [-6.510652, 55.240198], [-6.510479, 55.240346], [-6.510613, 55.24045], [-6.510833, 55.240566], [-6.510991, 55.240616], [-6.511141, 55.240732], [-6.511251, 55.240881], [-6.511282, 55.24093], [-6.51129, 55.24102], [-6.511314, 55.241096], [-6.511392, 55.241141], [-6.511471, 55.241181], [-6.511503, 55.241294], [-6.511511, 55.241374], [-6.511692, 55.241478], [-6.511755, 55.241572], [-6.51192, 55.241599], [-6.511975, 55.241675], [-6.511967, 55.241778], [-6.511959, 55.241855], [-6.512022, 55.241873]]]	https://iiif.library.leeds.ac.uk/thumbs/j5rkp6fs_objects_MS_1788-16-3193_001.tif/full/200,149/0/default.jpg	Giant's Causeway, Grand Causeway	1 cellulose nitrate negative	30/08/1894	Godfrey Bingley Photographic Archive	Historic photograph of Grand Causeway at the Giant's Causeway, showing coastal basalt formations and shoreline features.	Giant's Causeway, Grand Causeway. Historic photograph from the Godfrey Bingley Photographic Archive, dated 1894, depicting the named geological feature at the Giant's Causeway on the County Antrim coast. The image shows basalt columns, cliffs, rocky shorelines or related coastal landforms visible from the photographed viewpoint.	County Antrim, Giant's Causeway, Grand Causeway, basalt, coastline, geology, historic photograph	Giant's Causeway shoreline with a rounded rocky rise and sea beyond.	Giant's Causeway, Grand Causeway. This 1894 Godfrey Bingley cellulose nitrate negative shows the Grand Causeway area as a rocky coastal landscape, with a rounded basalt rise in the middle distance and the sea visible beyond.	Giant's Causeway, Grand Causeway, Giant's Causeway, County Antrim, Northern Ireland, basalt, columnar basalt, coastal geology, geological feature, shoreline, historic photograph, cellulose nitrate negative, Godfrey Bingley Photographic Archive, 30/08/1894, Grand Causeway, rounded basalt rise, rocky shore, sea
	https://iiif.library.leeds.ac.uk/presentation/cc/hj66rxgy	https://digital.library.leeds.ac.uk/15941/	handmade	Hand-mapped Leeds Data	Polygon	[[[-6.512022, 55.241873], [-6.512156, 55.241814], [-6.512141, 55.241464], [-6.512204, 55.241199], [-6.512141, 55.241119], [-6.512219, 55.24106], [-6.511975, 55.240786], [-6.511944, 55.240665], [-6.512227, 55.24045], [-6.512542, 55.240234], [-6.512597, 55.240082], [-6.51244, 55.239727], [-6.51177, 55.239686], [-6.511322, 55.239938], [-6.511243, 55.2401], [-6.511085, 55.240153], [-6.510991, 55.240091], [-6.510975, 55.240014], [-6.510731, 55.240014], [-6.510652, 55.240198], [-6.510479, 55.240346], [-6.510613, 55.24045], [-6.510833, 55.240566], [-6.510991, 55.240616], [-6.511141, 55.240732], [-6.511251, 55.240881], [-6.511282, 55.24093], [-6.51129, 55.24102], [-6.511314, 55.241096], [-6.511392, 55.241141], [-6.511471, 55.241181], [-6.511503, 55.241294], [-6.511511, 55.241374], [-6.511692, 55.241478], [-6.511755, 55.241572], [-6.51192, 55.241599], [-6.511975, 55.241675], [-6.511967, 55.241778], [-6.511959, 55.241855], [-6.512022, 55.241873]]]	https://iiif.library.leeds.ac.uk/thumbs/hj66rxgy_objects_MS_1788-16-3201_001.tif/full/200,149/0/default.jpg	Giant's Causeway, Grand Causeway	1 cellulose nitrate negative	30/08/1894	Godfrey Bingley Photographic Archive	Historic photograph of Grand Causeway at the Giant's Causeway, showing coastal basalt formations and shoreline features.	Giant's Causeway, Grand Causeway. Historic photograph from the Godfrey Bingley Photographic Archive, dated 1894, depicting the named geological feature at the Giant's Causeway on the County Antrim coast. The image shows basalt columns, cliffs, rocky shorelines or related coastal landforms visible from the photographed viewpoint.	County Antrim, Giant's Causeway, Grand Causeway, basalt, coastline, geology, historic photograph	Flat polygonal basalt pavement of the Grand Causeway leading toward the sea.	Giant's Causeway, Grand Causeway. The image focuses on the Grand Causeway's polygonal basalt pavement, where closely fitted column tops form a natural stone pathway running toward the shoreline.	Giant's Causeway, Grand Causeway, Giant's Causeway, County Antrim, Northern Ireland, basalt, columnar basalt, coastal geology, geological feature, shoreline, historic photograph, cellulose nitrate negative, Godfrey Bingley Photographic Archive, 30/08/1894, Grand Causeway, polygonal basalt pavement, column tops
	https://iiif.library.leeds.ac.uk/presentation/cc/n3yzz5xc	https://digital.library.leeds.ac.uk/15944/	handmade	Hand-mapped Leeds Data	Polygon	[[[-6.512022, 55.241873], [-6.512156, 55.241814], [-6.512141, 55.241464], [-6.512204, 55.241199], [-6.512141, 55.241119], [-6.512219, 55.24106], [-6.511975, 55.240786], [-6.511944, 55.240665], [-6.512227, 55.24045], [-6.512542, 55.240234], [-6.512597, 55.240082], [-6.51244, 55.239727], [-6.51177, 55.239686], [-6.511322, 55.239938], [-6.511243, 55.2401], [-6.511085, 55.240153], [-6.510991, 55.240091], [-6.510975, 55.240014], [-6.510731, 55.240014], [-6.510652, 55.240198], [-6.510479, 55.240346], [-6.510613, 55.24045], [-6.510833, 55.240566], [-6.510991, 55.240616], [-6.511141, 55.240732], [-6.511251, 55.240881], [-6.511282, 55.24093], [-6.51129, 55.24102], [-6.511314, 55.241096], [-6.511392, 55.241141], [-6.511471, 55.241181], [-6.511503, 55.241294], [-6.511511, 55.241374], [-6.511692, 55.241478], [-6.511755, 55.241572], [-6.51192, 55.241599], [-6.511975, 55.241675], [-6.511967, 55.241778], [-6.511959, 55.241855], [-6.512022, 55.241873]]]	https://iiif.library.leeds.ac.uk/thumbs/n3yzz5xc_objects_MS_1788-16-3204_001.tif/full/200,149/0/default.jpg	Giant's Causeway	1 cellulose nitrate negative	30/08/1894	Godfrey Bingley Photographic Archive	Historic photograph of Giant's Causeway at the Giant's Causeway, showing coastal basalt formations and shoreline features.	Giant's Causeway. Historic photograph from the Godfrey Bingley Photographic Archive, dated 1894, depicting the named geological feature at the Giant's Causeway on the County Antrim coast. The image shows basalt columns, cliffs, rocky shorelines or related coastal landforms visible from the photographed viewpoint.	County Antrim, Giant's Causeway, basalt, coastline, geology, historic photograph	Low rocky island and basalt-strewn shore at the Giant's Causeway.	Giant's Causeway. This coastal view shows a low offshore rock or skerry beyond a foreground of rough basalt stones, using the IIIF title to place the scene within the wider Giant's Causeway landscape.	Giant's Causeway, County Antrim, Northern Ireland, basalt, columnar basalt, coastal geology, geological feature, shoreline, historic photograph, cellulose nitrate negative, Godfrey Bingley Photographic Archive, 30/08/1894, offshore rock, skerry, basalt shore, sea
	https://iiif.library.leeds.ac.uk/presentation/cc/x181hghv	https://digital.library.leeds.ac.uk/15930/	handmade	Hand-mapped Leeds Data	Polygon	[[[-6.512022, 55.241873], [-6.512156, 55.241814], [-6.512141, 55.241464], [-6.512204, 55.241199], [-6.512141, 55.241119], [-6.512219, 55.24106], [-6.511975, 55.240786], [-6.511944, 55.240665], [-6.512227, 55.24045], [-6.512542, 55.240234], [-6.512597, 55.240082], [-6.51244, 55.239727], [-6.51177, 55.239686], [-6.511322, 55.239938], [-6.511243, 55.2401], [-6.511085, 55.240153], [-6.510991, 55.240091], [-6.510975, 55.240014], [-6.510731, 55.240014], [-6.510652, 55.240198], [-6.510479, 55.240346], [-6.510613, 55.24045], [-6.510833, 55.240566], [-6.510991, 55.240616], [-6.511141, 55.240732], [-6.511251, 55.240881], [-6.511282, 55.24093], [-6.51129, 55.24102], [-6.511314, 55.241096], [-6.511392, 55.241141], [-6.511471, 55.241181], [-6.511503, 55.241294], [-6.511511, 55.241374], [-6.511692, 55.241478], [-6.511755, 55.241572], [-6.51192, 55.241599], [-6.511975, 55.241675], [-6.511967, 55.241778], [-6.511959, 55.241855], [-6.512022, 55.241873]]]	https://iiif.library.leeds.ac.uk/thumbs/x181hghv_objects_MS_1788-16-3190_001.tif/full/150,200/0/default.jpg	Giant's Causeway, Diamond	1 cellulose nitrate negative	30/08/1894	Godfrey Bingley Photographic Archive	Historic photograph of Diamond at the Giant's Causeway, showing coastal basalt formations and shoreline features.	Giant's Causeway, Diamond. Historic photograph from the Godfrey Bingley Photographic Archive, dated 1894, depicting the named geological feature at the Giant's Causeway on the County Antrim coast. The image shows basalt columns, cliffs, rocky shorelines or related coastal landforms visible from the photographed viewpoint.	County Antrim, Diamond, Giant's Causeway, basalt, coastline, geology, historic photograph	Close view of hexagonal basalt columns forming the Diamond at the Giant's Causeway.	Giant's Causeway, Diamond. A close vertical composition records the Diamond feature through tightly packed, mostly hexagonal basalt column tops, with the repetitive geometry clearly visible in the foreground.	Giant's Causeway, Diamond, Giant's Causeway, County Antrim, Northern Ireland, basalt, columnar basalt, coastal geology, geological feature, shoreline, historic photograph, cellulose nitrate negative, Godfrey Bingley Photographic Archive, 30/08/1894, Diamond, hexagonal basalt, column tops, close-up geology
	https://iiif.library.leeds.ac.uk/presentation/cc/r5r7k2ft	https://digital.library.leeds.ac.uk/15925/	handmade	Hand-mapped Leeds Data	Polygon	[[[-6.512022, 55.241873], [-6.512156, 55.241814], [-6.512141, 55.241464], [-6.512204, 55.241199], [-6.512141, 55.241119], [-6.512219, 55.24106], [-6.511975, 55.240786], [-6.511944, 55.240665], [-6.512227, 55.24045], [-6.512542, 55.240234], [-6.512597, 55.240082], [-6.51244, 55.239727], [-6.51177, 55.239686], [-6.511322, 55.239938], [-6.511243, 55.2401], [-6.511085, 55.240153], [-6.510991, 55.240091], [-6.510975, 55.240014], [-6.510731, 55.240014], [-6.510652, 55.240198], [-6.510479, 55.240346], [-6.510613, 55.24045], [-6.510833, 55.240566], [-6.510991, 55.240616], [-6.511141, 55.240732], [-6.511251, 55.240881], [-6.511282, 55.24093], [-6.51129, 55.24102], [-6.511314, 55.241096], [-6.511392, 55.241141], [-6.511471, 55.241181], [-6.511503, 55.241294], [-6.511511, 55.241374], [-6.511692, 55.241478], [-6.511755, 55.241572], [-6.51192, 55.241599], [-6.511975, 55.241675], [-6.511967, 55.241778], [-6.511959, 55.241855], [-6.512022, 55.241873]]]	https://iiif.library.leeds.ac.uk/thumbs/r5r7k2ft_objects_MS_1788-15-3186_001.tif/full/200,148/0/default.jpg	Giant's Causeway, Honeycomb	1 cellulose nitrate negative	30/08/1894	Godfrey Bingley Photographic Archive	Historic photograph of Honeycomb at the Giant's Causeway, showing coastal basalt formations and shoreline features.	Giant's Causeway, Honeycomb. Historic photograph from the Godfrey Bingley Photographic Archive, dated 1894, depicting the named geological feature at the Giant's Causeway on the County Antrim coast. The image shows basalt columns, cliffs, rocky shorelines or related coastal landforms visible from the photographed viewpoint.	County Antrim, Giant's Causeway, Honeycomb, basalt, coastline, geology, historic photograph	Rounded Honeycomb area of the Giant's Causeway rising above rough coastal rocks.	Giant's Causeway, Honeycomb. The photograph shows the Honeycomb area as an uneven rocky mound and coastal slope, with rough basalt blocks and vegetation-like texture leading up to the named formation.	Giant's Causeway, Honeycomb, Giant's Causeway, County Antrim, Northern Ireland, basalt, columnar basalt, coastal geology, geological feature, shoreline, historic photograph, cellulose nitrate negative, Godfrey Bingley Photographic Archive, 30/08/1894, Honeycomb, basalt mound, rocky slope, coastal landscape
	https://iiif.library.leeds.ac.uk/presentation/cc/ndwpm1r1	https://digital.library.leeds.ac.uk/15940/	handmade	Hand-mapped Leeds Data	Polygon	[[[-6.512022, 55.241873], [-6.512156, 55.241814], [-6.512141, 55.241464], [-6.512204, 55.241199], [-6.512141, 55.241119], [-6.512219, 55.24106], [-6.511975, 55.240786], [-6.511944, 55.240665], [-6.512227, 55.24045], [-6.512542, 55.240234], [-6.512597, 55.240082], [-6.51244, 55.239727], [-6.51177, 55.239686], [-6.511322, 55.239938], [-6.511243, 55.2401], [-6.511085, 55.240153], [-6.510991, 55.240091], [-6.510975, 55.240014], [-6.510731, 55.240014], [-6.510652, 55.240198], [-6.510479, 55.240346], [-6.510613, 55.24045], [-6.510833, 55.240566], [-6.510991, 55.240616], [-6.511141, 55.240732], [-6.511251, 55.240881], [-6.511282, 55.24093], [-6.51129, 55.24102], [-6.511314, 55.241096], [-6.511392, 55.241141], [-6.511471, 55.241181], [-6.511503, 55.241294], [-6.511511, 55.241374], [-6.511692, 55.241478], [-6.511755, 55.241572], [-6.51192, 55.241599], [-6.511975, 55.241675], [-6.511967, 55.241778], [-6.511959, 55.241855], [-6.512022, 55.241873]]]	https://iiif.library.leeds.ac.uk/thumbs/ndwpm1r1_objects_MS_1788-16-3200_001.tif/full/200,149/0/default.jpg	Giant's Causeway, Honeycombe from E	1 cellulose nitrate negative	30/08/1894	Godfrey Bingley Photographic Archive	Historic photograph of Honeycombe from E at the Giant's Causeway, showing coastal basalt formations and shoreline features.	Giant's Causeway, Honeycombe from E. Historic photograph from the Godfrey Bingley Photographic Archive, dated 1894, depicting the named geological feature at the Giant's Causeway on the County Antrim coast. The image shows basalt columns, cliffs, rocky shorelines or related coastal landforms visible from the photographed viewpoint.	County Antrim, Giant's Causeway, Honeycombe from E, basalt, coastline, geology, historic photograph	Eastern view of Honeycomb, with a sloping headland, rocky shore and distant cliff.	Giant's Causeway, Honeycombe from E. This eastward view combines the named Honeycomb formation with a sloping coastal headland, rocky foreshore and a darker cliff mass in the distance.	Giant's Causeway, Honeycombe from E, Giant's Causeway, County Antrim, Northern Ireland, basalt, columnar basalt, coastal geology, geological feature, shoreline, historic photograph, cellulose nitrate negative, Godfrey Bingley Photographic Archive, 30/08/1894, Honeycomb, eastward view, headland, rocky foreshore, cliff
	https://iiif.library.leeds.ac.uk/presentation/cc/vc3bghvk	https://digital.library.leeds.ac.uk/15931/	handmade	Hand-mapped Leeds Data	Polygon	[[[-6.512022, 55.241873], [-6.512156, 55.241814], [-6.512141, 55.241464], [-6.512204, 55.241199], [-6.512141, 55.241119], [-6.512219, 55.24106], [-6.511975, 55.240786], [-6.511944, 55.240665], [-6.512227, 55.24045], [-6.512542, 55.240234], [-6.512597, 55.240082], [-6.51244, 55.239727], [-6.51177, 55.239686], [-6.511322, 55.239938], [-6.511243, 55.2401], [-6.511085, 55.240153], [-6.510991, 55.240091], [-6.510975, 55.240014], [-6.510731, 55.240014], [-6.510652, 55.240198], [-6.510479, 55.240346], [-6.510613, 55.24045], [-6.510833, 55.240566], [-6.510991, 55.240616], [-6.511141, 55.240732], [-6.511251, 55.240881], [-6.511282, 55.24093], [-6.51129, 55.24102], [-6.511314, 55.241096], [-6.511392, 55.241141], [-6.511471, 55.241181], [-6.511503, 55.241294], [-6.511511, 55.241374], [-6.511692, 55.241478], [-6.511755, 55.241572], [-6.51192, 55.241599], [-6.511975, 55.241675], [-6.511967, 55.241778], [-6.511959, 55.241855], [-6.512022, 55.241873]]]	https://iiif.library.leeds.ac.uk/thumbs/vc3bghvk_objects_MS_1788-16-3191_001.tif/full/150,200/0/default.jpg	Giant's Causeway, Lady's Fan	1 cellulose nitrate negative	30/08/1894	Godfrey Bingley Photographic Archive	Historic photograph of Lady's Fan at the Giant's Causeway, showing coastal basalt formations and shoreline features.	Giant's Causeway, Lady's Fan. Historic photograph from the Godfrey Bingley Photographic Archive, dated 1894, depicting the named geological feature at the Giant's Causeway on the County Antrim coast. The image shows basalt columns, cliffs, rocky shorelines or related coastal landforms visible from the photographed viewpoint.	County Antrim, Giant's Causeway, Lady's Fan, basalt, coastline, geology, historic photograph	Lady's Fan basalt pavement, showing interlocking polygonal column tops.	Giant's Causeway, Lady's Fan. The photograph presents a fan-like spread of column-top basalt paving, with polygonal outlines and cracks forming a dense geometric pattern across the frame.	Giant's Causeway, Lady's Fan, Giant's Causeway, County Antrim, Northern Ireland, basalt, columnar basalt, coastal geology, geological feature, shoreline, historic photograph, cellulose nitrate negative, Godfrey Bingley Photographic Archive, 30/08/1894, Lady's Fan, fan-shaped basalt paving, polygonal rock, column tops
	https://iiif.library.leeds.ac.uk/presentation/cc/gmhx8739	https://digital.library.leeds.ac.uk/15929/	handmade	Hand-mapped Leeds Data	Polygon	[[[-6.512022, 55.241873], [-6.512156, 55.241814], [-6.512141, 55.241464], [-6.512204, 55.241199], [-6.512141, 55.241119], [-6.512219, 55.24106], [-6.511975, 55.240786], [-6.511944, 55.240665], [-6.512227, 55.24045], [-6.512542, 55.240234], [-6.512597, 55.240082], [-6.51244, 55.239727], [-6.51177, 55.239686], [-6.511322, 55.239938], [-6.511243, 55.2401], [-6.511085, 55.240153], [-6.510991, 55.240091], [-6.510975, 55.240014], [-6.510731, 55.240014], [-6.510652, 55.240198], [-6.510479, 55.240346], [-6.510613, 55.24045], [-6.510833, 55.240566], [-6.510991, 55.240616], [-6.511141, 55.240732], [-6.511251, 55.240881], [-6.511282, 55.24093], [-6.51129, 55.24102], [-6.511314, 55.241096], [-6.511392, 55.241141], [-6.511471, 55.241181], [-6.511503, 55.241294], [-6.511511, 55.241374], [-6.511692, 55.241478], [-6.511755, 55.241572], [-6.51192, 55.241599], [-6.511975, 55.241675], [-6.511967, 55.241778], [-6.511959, 55.241855], [-6.512022, 55.241873]]]	https://iiif.library.leeds.ac.uk/thumbs/gmhx8739_objects_MS_1788-16-3189_001.tif/full/200,148/0/default.jpg	Giant's Causeway, Lord Antrim's parlour	1 cellulose nitrate negative	30/08/1894	Godfrey Bingley Photographic Archive	Historic photograph of Lord Antrim's parlour at the Giant's Causeway, showing coastal basalt formations and shoreline features.	Giant's Causeway, Lord Antrim's parlour. Historic photograph from the Godfrey Bingley Photographic Archive, dated 1894, depicting the named geological feature at the Giant's Causeway on the County Antrim coast. The image shows basalt columns, cliffs, rocky shorelines or related coastal landforms visible from the photographed viewpoint.	County Antrim, Giant's Causeway, Lord Antrim's parlour, basalt, coastline, geology, historic photograph	Lord Antrim's Parlour, with upright basalt columns lining a rocky slope.	Giant's Causeway, Lord Antrim's parlour. Tall upright basalt columns line the side of a rocky slope, creating a terraced wall of columnar basalt associated with the named feature.	Giant's Causeway, Lord Antrim's parlour, Giant's Causeway, County Antrim, Northern Ireland, basalt, columnar basalt, coastal geology, geological feature, shoreline, historic photograph, cellulose nitrate negative, Godfrey Bingley Photographic Archive, 30/08/1894, Lord Antrim's Parlour, upright basalt columns, rocky slope, columnar wall
	https://iiif.library.leeds.ac.uk/presentation/cc/j6v71hl9	https://digital.library.leeds.ac.uk/15962/	handmade	Hand-mapped Leeds Data	Polygon	[[[-6.521061, 55.236523], [-6.520437, 55.236018], [-6.519436, 55.235323], [-6.518609, 55.235348], [-6.517927, 55.235679], [-6.517564, 55.236018], [-6.517695, 55.236548], [-6.518086, 55.237474], [-6.52019, 55.237085], [-6.521061, 55.236523]]]	https://iiif.library.leeds.ac.uk/thumbs/j6v71hl9_objects_MS_1788-16-3222_001.tif/full/200,149/0/default.jpg	Giant's Causeway, Portnaboe	1 cellulose nitrate negative	31/08/1894	Godfrey Bingley Photographic Archive	Historic photograph of Portnaboe at the Giant's Causeway, showing coastal basalt formations and shoreline features.	Giant's Causeway, Portnaboe. Historic photograph from the Godfrey Bingley Photographic Archive, dated 1894, depicting the named geological feature at the Giant's Causeway on the County Antrim coast. The image shows basalt columns, cliffs, rocky shorelines or related coastal landforms visible from the photographed viewpoint.	County Antrim, Giant's Causeway, Portnaboe, basalt, coastline, geology, historic photograph	Portnaboe coastline with cliffs, headlands and small offshore rocks.	Giant's Causeway, Portnaboe. This 1894 view looks across the Portnaboe coastline, where cliffs and headlands recede into a hazy seascape with small rocks in the water below.	Giant's Causeway, Portnaboe, Giant's Causeway, County Antrim, Northern Ireland, basalt, columnar basalt, coastal geology, geological feature, shoreline, historic photograph, cellulose nitrate negative, Godfrey Bingley Photographic Archive, 31/08/1894, Portnaboe, cliffs, headlands, offshore rocks, sea
	https://iiif.library.leeds.ac.uk/presentation/cc/rwp4hcxz	https://digital.library.leeds.ac.uk/15936/	handmade	Hand-mapped Leeds Data	Polygon	[[[-6.504895, 55.244388], [-6.503879, 55.243875], [-6.502821, 55.243462], [-6.50173, 55.243647], [-6.501172, 55.244127], [-6.501164, 55.244891], [-6.501605, 55.245442], [-6.502272, 55.245741], [-6.502613, 55.245376], [-6.503121, 55.244673], [-6.503837, 55.24445], [-6.504262, 55.244374], [-6.504895, 55.244388]]]	https://iiif.library.leeds.ac.uk/thumbs/rwp4hcxz_objects_MS_1788-16-3196_001.tif/full/200,149/0/default.jpg	Giant's Causeway, Amphitheatre	1 cellulose nitrate negative	30/08/1894	Godfrey Bingley Photographic Archive	Historic photograph of Amphitheatre at the Giant's Causeway, showing coastal basalt formations and shoreline features.	Giant's Causeway, Amphitheatre. Historic photograph from the Godfrey Bingley Photographic Archive, dated 1894, depicting the named geological feature at the Giant's Causeway on the County Antrim coast. The image shows basalt columns, cliffs, rocky shorelines or related coastal landforms visible from the photographed viewpoint.	Amphitheatre, County Antrim, Giant's Causeway, basalt, coastline, geology, historic photograph	Amphitheatre cliff at the Giant's Causeway, seen as a broad curved rock face.	Giant's Causeway, Amphitheatre. The image shows a wide, concave cliff face resembling an amphitheatre, with steep pale rock walls enclosing a lower rocky foreground.	Giant's Causeway, Amphitheatre, Giant's Causeway, County Antrim, Northern Ireland, basalt, columnar basalt, coastal geology, geological feature, shoreline, historic photograph, cellulose nitrate negative, Godfrey Bingley Photographic Archive, 30/08/1894, Amphitheatre, curved cliff, escarpment, rocky foreground
